"","varnumber","varname","codevalue","valuelabel","frequency","percent"
"1",35000,"CIPCODE","99","Grand total",20454,6.9
"2",35000,"CIPCODE","01.0000","Agriculture, General",266,0.09
"3",35000,"CIPCODE","01.0101","Agricultural Business and Management, General",204,0.07
"4",35000,"CIPCODE","01.0102","Agribusiness/Agricultural Business Operations",263,0.09
"5",35000,"CIPCODE","01.0103","Agricultural Economics",122,0.04
"6",35000,"CIPCODE","01.0104","Farm/Farm and Ranch Management",98,0.03
"7",35000,"CIPCODE","01.0105","Agricultural/Farm Supplies Retailing and Wholesaling",27,0.01
"8",35000,"CIPCODE","01.0106","Agricultural Business Technology/Technician",12,0
"9",35000,"CIPCODE","01.0199","Agricultural Business and Management, Other",22,0.01
"10",35000,"CIPCODE","01.0201","Agricultural Mechanization, General",50,0.02
"11",35000,"CIPCODE","01.0204","Agricultural Power Machinery Operation",14,0
"12",35000,"CIPCODE","01.0205","Agricultural Mechanics and Equipment/Machine Technology/Technician",62,0.02
"13",35000,"CIPCODE","01.0299","Agricultural Mechanization, Other",9,0
"14",35000,"CIPCODE","01.0301","Agricultural Production Operations, General",121,0.04
"15",35000,"CIPCODE","01.0302","Animal/Livestock Husbandry and Production",93,0.03
"16",35000,"CIPCODE","01.0303","Aquaculture",40,0.01
"17",35000,"CIPCODE","01.0304","Crop Production",80,0.03
"18",35000,"CIPCODE","01.0306","Dairy Husbandry and Production",18,0.01
"19",35000,"CIPCODE","01.0307","Horse Husbandry/Equine Science and Management",79,0.03
"20",35000,"CIPCODE","01.0308","Agroecology and Sustainable Agriculture",128,0.04
"21",35000,"CIPCODE","01.0399","Agricultural Production Operations, Other",14,0
"22",35000,"CIPCODE","01.0401","Agricultural and Food Products Processing",44,0.01
"23",35000,"CIPCODE","01.0504","Dog/Pet/Animal Grooming",12,0
"24",35000,"CIPCODE","01.0505","Animal Training",9,0
"25",35000,"CIPCODE","01.0507","Equestrian/Equine Studies",89,0.03
"26",35000,"CIPCODE","01.0508","Taxidermy/Taxidermist",3,0
"27",35000,"CIPCODE","01.0599","Agricultural and Domestic Animal Services, Other",13,0
"28",35000,"CIPCODE","01.0601","Applied Horticulture/Horticulture Operations, General",319,0.11
"29",35000,"CIPCODE","01.0603","Ornamental Horticulture",37,0.01
"30",35000,"CIPCODE","01.0604","Greenhouse Operations and Management",22,0.01
"31",35000,"CIPCODE","01.0605","Landscaping and Groundskeeping",202,0.07
"32",35000,"CIPCODE","01.0606","Plant Nursery Operations and Management",50,0.02
"33",35000,"CIPCODE","01.0607","Turf and Turfgrass Management",87,0.03
"34",35000,"CIPCODE","01.0608","Floriculture/Floristry Operations and Management",49,0.02
"35",35000,"CIPCODE","01.0609","Public Horticulture",1,0
"36",35000,"CIPCODE","01.0610","Urban and Community Horticulture",2,0
"37",35000,"CIPCODE","01.0699","Applied Horticulture/Horticultural Business Services, Other",16,0.01
"38",35000,"CIPCODE","01.0701","International Agriculture",19,0.01
"39",35000,"CIPCODE","01.0801","Agricultural and Extension Education Services",43,0.01
"40",35000,"CIPCODE","01.0802","Agricultural Communication/Journalism",31,0.01
"41",35000,"CIPCODE","01.0899","Agricultural Public Services, Other",4,0
"42",35000,"CIPCODE","01.0901","Animal Sciences, General",261,0.09
"43",35000,"CIPCODE","01.0902","Agricultural Animal Breeding",8,0
"44",35000,"CIPCODE","01.0903","Animal Health",10,0
"45",35000,"CIPCODE","01.0904","Animal Nutrition",1,0
"46",35000,"CIPCODE","01.0905","Dairy Science",28,0.01
"47",35000,"CIPCODE","01.0906","Livestock Management",21,0.01
"48",35000,"CIPCODE","01.0907","Poultry Science",25,0.01
"49",35000,"CIPCODE","01.0999","Animal Sciences, Other",16,0.01
"50",35000,"CIPCODE","01.1001","Food Science",171,0.06
"51",35000,"CIPCODE","01.1002","Food Technology and Processing",32,0.01
"52",35000,"CIPCODE","01.1003","Brewing Science",13,0
"53",35000,"CIPCODE","01.1004","Viticulture and Enology",61,0.02
"54",35000,"CIPCODE","01.1005","Zymology/Fermentation Science",2,0
"55",35000,"CIPCODE","01.1099","Food Science and Technology, Other",29,0.01
"56",35000,"CIPCODE","01.1101","Plant Sciences, General",86,0.03
"57",35000,"CIPCODE","01.1102","Agronomy and Crop Science",137,0.05
"58",35000,"CIPCODE","01.1103","Horticultural Science",117,0.04
"59",35000,"CIPCODE","01.1104","Agricultural and Horticultural Plant Breeding",9,0
"60",35000,"CIPCODE","01.1105","Plant Protection and Integrated Pest Management",33,0.01
"61",35000,"CIPCODE","01.1106","Range Science and Management",51,0.02
"62",35000,"CIPCODE","01.1199","Plant Sciences, Other",13,0
"63",35000,"CIPCODE","01.1201","Soil Science and Agronomy, General",69,0.02
"64",35000,"CIPCODE","01.1202","Soil Chemistry and Physics",2,0
"65",35000,"CIPCODE","01.1299","Soil Sciences, Other",12,0
"66",35000,"CIPCODE","01.1302","Pre-Veterinary Studies",61,0.02
"67",35000,"CIPCODE","01.1399","Agriculture/Veterinary Preparatory Programs, Other",1,0
"68",35000,"CIPCODE","01.8001","Veterinary Medicine",38,0.01
"69",35000,"CIPCODE","01.8101","Veterinary Sciences/Veterinary Clinical Sciences, General",48,0.02
"70",35000,"CIPCODE","01.8102","Comparative and Laboratory Animal Medicine",10,0
"71",35000,"CIPCODE","01.8103","Large Animal/Food Animal and Equine Surgery and Medicine",3,0
"72",35000,"CIPCODE","01.8104","Small/Companion Animal Surgery and Medicine",3,0
